YEAR,MONTH,DAY,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,ARRIVAL_DELAY
2015,1,1,AS,98,N407AS,ANC,SEA,-11.0,-22.0
2015,1,1,AA,2336,N3KUAA,LAX,PBI,-8.0,-9.0
2015,1,1,US,840,N171US,SFO,CLT,-2.0,5.0
2015,1,1,AA,258,N3HYAA,LAX,MIA,-5.0,-9.0
2015,1,1,AS,135,N527AS,SEA,ANC,-1.0,-21.0
2015,1,1,DL,806,N3730B,SFO,MSP,-5.0,8.0
2015,1,1,NK,612,N635NK,LAS,MSP,-6.0,-17.0
2015,1,1,US,2013,N584UW,LAX,CLT,14.0,-10.0
2015,1,1,AA,1112,N3LAAA,SFO,DFW,-11.0,-13.0
2015,1,1,DL,1173,N826DN,LAS,ATL,3.0,-15.0
2015,1,1,DL,2336,N958DN,DEN,ATL,-6.0,-30.0
2015,1,1,AA,1674,N853AA,LAS,MIA,-8.0,-10.0
2015,1,1,DL,1434,N547US,LAX,MSP,0.0,-4.0
2015,1,1,DL,2324,N3751B,SLC,ATL,-6.0,-22.0
2015,1,1,DL,2440,N651DL,SEA,MSP,-1.0,8.0
2015,1,1,AS,108,N309AS,ANC,SEA,-4.0,-14.0
2015,1,1,DL,1560,N3743H,ANC,SEA,-14.0,-24.0
2015,1,1,UA,1197,N78448,SFO,IAH,-6.0,-7.0
2015,1,1,AS,122,N413AS,ANC,PDX,-4.0,-18.0
2015,1,1,DL,1670,N806DN,PDX,MSP,-5.0,-12.0
2015,1,1,NK,520,N525NK,LAS,MCI,25.0,6.0
2015,1,1,AA,371,N3GXAA,SEA,MIA,-8.0,1.0
2015,1,1,NK,214,N632NK,LAS,DFW,-1.0,-1.0
2015,1,1,AA,115,N3CTAA,LAX,MIA,-2.0,-12.0
2015,1,1,DL,1450,N671DN,LAS,MSP,-3.0,-23.0
2015,1,1,UA,1545,N76517,LAX,IAH,-3.0,-11.0
2015,1,1,AS,130,N457AS,FAI,SEA,-8.0,-3.0
2015,1,1,NK,597,N528NK,MSP,FLL,12.0,25.0
2015,1,1,US,413,N571UW,LAS,CLT,-10.0,-31.0
2015,1,1,AA,2392,N3HRAA,DEN,MIA,21.0,2.0
2015,1,1,NK,168,N629NK,PHX,ORD,72.0,43.0
2015,1,1,AA,2211,N3CGAA,PHX,MIA,-11.0,-16.0
2015,1,1,AS,136,N431AS,ANC,SEA,,
2015,1,1,DL,95,N320US,SLC,ATL,-6.0,10.0
2015,1,1,NK,298,N514NK,LAS,IAH,-4.0,-4.0
2015,1,1,HA,17,N389HA,LAS,HNL,0.0,15.0
2015,1,1,US,617,N804AW,ANC,PHX,-9.0,-10.0
2015,1,1,UA,1528,N76519,SJU,EWR,3.0,-11.0
2015,1,1,AS,134,N464AS,ANC,SEA,-15.0,-35.0
2015,1,1,B6,304,N607JB,SJU,JFK,-2.0,11.0
2015,1,1,NK,451,N633NK,PBG,FLL,-16.0,-33.0
2015,1,1,NK,972,N606NK,PHX,DFW,-1.0,1.0
2015,1,1,AA,2459,N3BDAA,PHX,DFW,,
2015,1,1,AS,144,N514AS,ANC,PDX,-10.0,-11.0
2015,1,1,NK,647,N630NK,IAG,FLL,-5.0,-11.0
2015,1,1,B6,1990,N597JB,SJU,EWR,-14.0,4.0
2015,1,1,US,699,N172US,PHX,CLT,-11.0,-36.0
2015,1,1,AS,114,N303AS,ANC,SEA,-11.0,-12.0
2015,1,1,B6,668,N653JB,PSE,MCO,-7.0,-9.0
2015,1,1,UA,1162,N37293,BQN,EWR,-1.0,6.0
2015,1,1,B6,1030,N239JB,BQN,MCO,-3.0,20.0
2015,1,1,B6,262,N627JB,SJU,BOS,-14.0,-16.0
2015,1,1,B6,2134,N307JB,SJU,MCO,95.0,85.0
2015,1,1,B6,730,N621JB,BQN,MCO,4.0,-7.0
2015,1,1,B6,768,N317JB,PSE,MCO,-11.0,-1.0
2015,1,1,B6,2276,N646JB,SJU,BDL,72.0,89.0
2015,1,1,US,602,N197UW,ORD,PHX,-1.0,3.0
2015,1,1,AS,695,N607AS,GEG,SEA,-4.0,0.0
2015,1,1,HA,102,N492HA,HNL,ITO,-8.0,-6.0
2015,1,1,OO,5467,N701BR,ONT,SFO,13.0,9.0
2015,1,1,HA,108,N476HA,HNL,KOA,-1.0,5.0
2015,1,1,AS,730,N423AS,ANC,SEA,-8.0,-14.0
2015,1,1,HA,206,N484HA,HNL,OGG,-11.0,-11.0
2015,1,1,UA,1500,N30401,ORD,IAH,4.0,11.0
2015,1,1,AA,1323,N3CXAA,MCO,MIA,-3.0,-11.0
2015,1,1,NK,103,N616NK,BOS,MYR,-4.0,-10.0
2015,1,1,OO,7404,N8982A,HIB,MSP,-10.0,0.0
2015,1,1,OO,7419,N445SW,ABR,MSP,-2.0,-4.0
2015,1,1,OO,5254,N746SK,MAF,IAH,,
